"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"DKPN";"FREQUENCY";"LOAD_CAPACITANCE";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESISTANCE";"SHUNT_CAPACITANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"1";"ATMEGA328P-AU";"ATMEGA328P-AU";"TQFP-32";"U2";"ATmega328P";"";"";"ATMEGA328P-AURCT-ND";"";"";"Microchip Technology";"556-ATMEGA328P-AU";"ATMEGA328P-AU";"";"";"";"";"";"";"";
"1";"CAN_TRANSCIEVER_TCAN1051HQV-Q1";"CAN_TRANSCIEVER_TCAN1051HQV-Q1";"SOIC-08";"U5";"TCAN1051*V Can Tranciever";"";"";"296-49935-1-ND";"";"";"Texas Instruments";"595-TCAN1051HGVDQ1";"TCAN1051HGVDRQ1";"";"";"";"";"";"";"";
"18";"CAPACITOR_0603_10V_0.1UF";"CAPACITOR_0603_10V_0.1UF";"0603-CAP";"C2, C3, C10, C12, C13, C15, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32";"Capacitor, Non-Polarized";"0.1µF";"";"720-1688-1-ND";"";"";"Vishay Vitramon";"77-VJ0603Y104JXQPBC";"VJ0603Y104JXQPW1BC";"";"";"";"5%";"10V";"";"";
"4";"CAPACITOR_0603_10V_15PF";"CAPACITOR_0603_10V_15PF";"0603-CAP";"C1, C4, C5, C9";"Capacitor, Non-Polarized";"15pF";"";"720-VJ0603A150FXQPW1BCCT-ND";"";"";"Vishay Vitramon";"77-VJ0603A150FXQPBC";"VJ0603A150FXQPW1BC";"";"";"";"1%";"10V";"";"";
"4";"CAPACITOR_0603_10V_1UF";"CAPACITOR_0603_10V_1UF";"0603-CAP";"C6, C7, C8, C14";"Capacitor, Non-Polarized";"1µF";"";"311-1796-1-ND";"";"";"Yageo";"603-CC603KRX7R6BB105";"CC0603KRX7R6BB105";"";"";"";"10%";"10V";"";"";
"1";"CAPACITOR_0603_10V_4.7NF";"CAPACITOR_0603_10V_4.7NF";"0603-CAP";"C16";"Capacitor, Non-Polarized";"4.7nF";"";"732-7931-1-ND";"";"";"Würth Elektronik";"710-885012206012";"885012206012";"";"";"";"10%";"10V";"";"";
"4";"CAPACITOR_0603_10V_680PF";"CAPACITOR_0603_10V_680PF";"0603-CAP";"C17, C18, C19, C20";"Capacitor, Non-Polarized";"680pF";"";"732-7757-1-ND";"";"";"Würth Elektronik";"710-885012006013";"885012006013";"";"";"";"5%";"10V";"";"";
"1";"CAPACITOR_0603_25V_0.22UF";"CAPACITOR_0603_25V_0.22UF";"0603-CAP";"C11";"Capacitor, Non-Polarized";"0.22µF";"";"1292-1420-1-ND";"";"";"Walsin Technology Corporation";"791-0603B224K250CT";"0603B224K250CT";"";"";"";"10%";"25V";"";"";
"1";"CONNECTOR-AVR-ISP__";"CONNECTOR-AVR-ISP__";"2X03";"J1";"AVR ISP 6-pin Header";"";"";"S2011EC-03-ND";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CONNECTOR-CAN_NF_S_RA_BLACK";"CONNECTOR-CAN_NF_S_RA_BLACK";"MOLEX_NANOFIT_SMD_RIGHTANGLE_04";"J6";"HyTech CAN Connector";"";"";"";"";"";"Molex";"";"105405-1304";"";"";"";"";"";"";"";
"4";"CONNECTOR-SENSOR_NF_S_RA_BLACK";"CONNECTOR-SENSOR_NF_S_RA_BLACK";"MOLEX_NANOFIT_SMD_RIGHTANGLE_04";"J2, J3, J4, J5";"HyTech Sensor Connector";"";"";"";"";"";"Molex";"";"105405-1304";"";"";"";"";"";"";"";
"2";"CRYSTAL16MHZ";"CRYSTAL16MHZ";"ABM3B";"X1, X2";"Crystal";"";"";"887-1298-1-ND";"16 MHz";"10pF";"TXC CORPORATION";"717-7B-16.000MEEQ-T";"7B-16.000MEEQ-T";"";"";"2 - 5 pF";"";"";"";"";
"9";"JUMPER_1X02_";"JUMPER_1X02_";"1X02";"CAN, S1PD, S1PU, S2PD, S2PU, S3PD, S3PU, S4PD, S4PU";"2 Pin Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LED_0603_RED";"LED_0603_RED";"0603-LED";"D1, D2, D3";"LED";"";"Red";"754-1786-1-ND";"";"";"Kingbright";"604-APT1608SECKJ3PRV";"APT1608SECK/J3-PRV";"";"";"";"";"";"";"";
"1";"LM340";"LM340";"SOT223";"U1";"LM340";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MAX7400";"MAX7400";"SOIC-08(NARROW,0.15")";"U6, U7, U8, U9";"8th-Order Maxim Filter";"";"";"MAX7400CSA+-ND";"";"";"Maxim Integrated";"700-MAX7400CSA";"MAX7400CSA+";"";"";"";"";"";"";"";
"1";"MCP2515";"MCP2515";"TSSOP-20";"U3";"MCP2515 Can Controller";"";"";"MCP2515-E/ST-ND";"";"";"Microchip Technology";"579-MCP2515-E/ST";"MCP2515-E/ST";"";"";"";"";"";"";"";
"1";"MCP3204";"MCP3204";"SOIC-14";"U4";"MCP3204 4-Channel ADC";"";"";"MCP3204-BI/SL-ND";"";"";"Microchip Technology";"579-MCP3204-BI/SL";"MCP3204-BI/SL";"";"";"";"";"";"";"";
"4";"OPAMP_1_CHANNEL_OPA991";"OPAMP_1_CHANNEL_OPA991";"SC-70-5";"U10, U11, U12, U13";"Op-Amp 1 Channel";"";"";"";"";"";"";"";"OPA991IDCKT";"";"";"";"";"";"";"";
"10";"RESISTOR_0603_10K";"RESISTOR_0603_10K";"0603-RES";"R4, R7, R8, R9, R10, R11, R12, R13, R14, R15";"Resistor";"";"";"311-10.0KHRCT-ND";"";"";"Yageo";"603-RC0603FR-0710KL";"RC0603FR-0710KL";"0.1W";"10k";"";"1%";"";"31.62V";"75V";
"3";"RESISTOR_0603_1K";"RESISTOR_0603_1K";"0603-RES";"R1, R2, R3";"Resistor";"";"";"311-1.00KHRCT-ND";"";"";"Yageo";"603-RC0603FR-071KL";"RC0603FR-071KL";"0.1W";"1k";"";"1%";"";"10.00V";"75V";
"2";"RESISTOR_0603_60.4";"RESISTOR_0603_60.4";"0603-RES";"R5, R6";"Resistor";"";"";"311-60.4HRCT-ND";"";"";"Yageo";"603-RC0603FR-0760R4L";"RC0603FR-0760R4L";"0.1W";"60.4";"";"1%";"";"2.48V";"75V";
